"","CS_id","plant_id","segment","cut","zoom","repetition"
"1","A06_S1_C01_Z04_02","A06","S1","C01","Z04","02"
"2","A06_S2_C03_Z10_01","A06","S2","C03","Z10","01"
"3","A06_S4_C01_Z20_01","A06","S4","C01","Z20","01"
"4","A07_S2_C01_Z10_01","A07","S2","C01","Z10","01"
"5","A07_S3_C01_Z20_01","A07","S3","C01","Z20","01"
"6","A07_S3_C02_Z20_01","A07","S3","C02","Z20","01"
"7","A08_S1_C01_Z04_01","A08","S1","C01","Z04","01"
"8","A08_S3_C01_Z10_06","A08","S3","C01","Z10","06"
"9","A08_S4_C03_Z20_01","A08","S4","C03","Z20","01"
"10","A09_S2_C01_Z04_01","A09","S2","C01","Z04","01"
"11","A09_S3_C01_Z10_03","A09","S3","C01","Z10","03"
"12","A09_S4_C04_Z20_01","A09","S4","C04","Z20","01"
"13","G03_S2_C01_Z10_01","G03","S2","C01","Z10","01"
"14","G03_S3_C04_Z10_05","G03","S3","C04","Z10","05"
"15","G03_S4_C01_Z20_03","G03","S4","C01","Z20","03"
"16","G04_S2_C01_Z04_01","G04","S2","C01","Z04","01"
"17","G04_S3_C01_Z10_01","G04","S3","C01","Z10","01"
"18","G04_S4_C02_Z20_01","G04","S4","C02","Z20","01"
"19","G09_S2_C01_Z04_01","G09","S2","C01","Z04","01"
"20","G09_S3_C03_Z10_01","G09","S3","C03","Z10","01"
"21","G09_S4_C02_Z20_01","G09","S4","C02","Z20","01"
"22","G10_S2_C01_Z04_01","G10","S2","C01","Z04","01"
"23","G10_S3_C01_Z10_01","G10","S3","C01","Z10","01"
"24","G10_S4_C01_Z20_01","G10","S4","C01","Z20","01"
