"","gen_id","repetition","plant_id"
"1","A","01","A01"
"2","A","02","A02"
"3","A","03","A03"
"4","A","04","A04"
"5","A","05","A05"
"6","A","06","A06"
"7","A","07","A07"
"8","A","08","A08"
"9","A","09","A09"
"10","A","10","A10"
"11","A","11","A11"
"12","A","12","A12"
"13","B","01","B01"
"14","B","02","B02"
"15","B","03","B03"
"16","B","04","B04"
"17","B","05","B05"
"18","B","06","B06"
"19","B","07","B07"
"20","B","08","B08"
"21","B","09","B09"
"22","B","10","B10"
"23","B","11","B11"
"24","B","12","B12"
"25","C","01","C01"
"26","C","02","C02"
"27","C","03","C03"
"28","C","04","C04"
"29","C","05","C05"
"30","C","06","C06"
"31","C","07","C07"
"32","C","08","C08"
"33","C","09","C09"
"34","C","10","C10"
"35","C","11","C11"
"36","C","12","C12"
"37","D","01","D01"
"38","D","02","D02"
"39","D","03","D03"
"40","D","04","D04"
"41","D","05","D05"
"42","D","06","D06"
"43","D","07","D07"
"44","D","08","D08"
"45","D","09","D09"
"46","D","10","D10"
"47","D","11","D11"
"48","D","12","D12"
"49","E","01","E01"
"50","E","02","E02"
"51","E","03","E03"
"52","E","04","E04"
"53","E","05","E05"
"54","E","06","E06"
"55","E","07","E07"
"56","E","08","E08"
"57","E","09","E09"
"58","E","10","E10"
"59","E","11","E11"
"60","E","12","E12"
"61","F","01","F01"
"62","F","02","F02"
"63","F","03","F03"
"64","F","04","F04"
"65","F","05","F05"
"66","F","06","F06"
"67","F","07","F07"
"68","F","08","F08"
"69","F","09","F09"
"70","F","10","F10"
"71","F","11","F11"
"72","F","12","F12"
"73","G","01","G01"
"74","G","02","G02"
"75","G","03","G03"
"76","G","04","G04"
"77","G","05","G05"
"78","G","06","G06"
"79","G","07","G07"
"80","G","08","G08"
"81","G","09","G09"
"82","G","10","G10"
"83","G","11","G11"
"84","G","12","G12"
