"","plant_id","surface"
"1","A02",119.74
"2","A03",99.13
"3","A04",139.6
"4","A06",139.6
"5","A07",264.6
"6","A08",123.5
"7","A09",172.5
"8","A10",174.8
"9","A11",41.6
"10","A12",189.8
"11","C01",230.3
"12","C02",185.6
"13","C03",42.7
"14","C04",68.7
"15","D01",133.3
"16","D02",151.3
"17","D03",140.8
"18","D04",148.8
"19","D05",81.4
"20","D06",43.9
"21","D07",110.3
"22","D08",138.9
"23","E01",53
"24","E03",49.1
"25","E05",100.6
"26","E06",150.5
"27","E07",235.4
"28","F01",112
"29","F02",124.6
"30","F03",120.9
"31","F04",84
"32","F05",62.9
"33","F06",65
"34","G01",55.4
"35","G02",300.4
"36","G03",224
"37","G04",89.6
"38","G06",285
"39","G07",218.5
"40","G08",327.5
"41","G09",150.2
"42","G10",340.3
"43","G11",170.4
